framenumber, male_x, male_y, male_angle, female_x, female_y, female_angle
226 ,267,107,3.99514270718 ,256,59,4.28921374844
227 ,268,116,4.02878748649 ,259,63,4.36173375545
228 ,267,120,4.03641371459 ,262,70,4.40780218125
229 ,267,124,4.23191530495 ,265,77,4.54232910055
230 ,264,130,4.46350485861 ,268,82,4.59323595742
231 ,263,138,4.58018806598 ,270,93,4.64825580028
232 ,260,144,4.5377852151 ,271,96,4.64768428591
233 ,260,155,4.49409872058 ,273,110,4.82374081389
234 ,258,160,4.45359896462 ,274,119,4.83908923543
235 ,256,168,4.59789915249 ,273,128,4.94518767576
236 ,250,171,4.89250545584 ,272,133,4.91575202254
237 ,241,176,5.10807033645 ,269,144,5.01007096847
238 ,241,176,5.02246039334 ,267,149,5.03226458787
239 ,240,180,4.88511987763 ,267,149,5.14288377743
240 ,237,186,4.92372574323 ,266,153,5.1160456051
241 ,233,192,4.82344858189 ,264,162,5.29810971683
242 ,230,196,4.8304442317 ,260,169,5.36646547201
243 ,220,203,5.30543946852 ,252,180,5.40651495401
244 ,213,206,5.33811013009 ,246,188,5.53053310623
245 ,201,210,5.48121482495 ,242,195,5.57215811433
246 ,196,213,5.40370791564 ,237,200,5.67599416602
247 ,192,216,4.90444269259 ,228,207,5.69450233665
248 ,191,217,4.91321110055 ,229,208,5.7454105251
249 ,193,213,4.19025760655 ,234,205,5.86392452256
250 ,192,209,3.76149506263 ,238,202,5.90316127437
251 ,196,210,3.37100001305 ,242,201,5.83340855805
252 ,200,210,3.34471940678 ,243,200,5.89569323804
253 ,200,210,3.23161881687 ,243,201,5.88890843569
254 ,204,207,2.82607464344 ,243,201,5.89046638493
255 ,208,202,2.7888833325 ,245,198,5.8859221
256 ,206,198,2.61900547973 ,247,198,5.79343011587
257 ,215,189,2.52579630632 ,249,196,5.84919124962
258 ,221,181,2.55482769168 ,249,195,5.86923366735
259 ,227,174,2.56391040257 ,249,195,5.97154485958
260 ,233,171,2.6679276158 ,243,195,6.14560986738
261 ,245,163,2.78598714482 ,245,191,3.37495960096
262 ,254,160,2.82958056186 ,245,187,3.90479230404
263 ,260,155,2.80541676918 ,236,186,5.15751298735
264 ,260,151,2.51670227699 ,236,183,5.26866044821
265 ,267,143,2.3242512045 ,240,175,2.32441345759
266 ,269,139,2.27491994031 ,245,167,2.18854350614
267 ,268,132,2.10464048284 ,250,163,2.24558861643
268 ,267,125,1.84285977046 ,252,162,2.22690674112
269 ,269,118,2.00658718585 ,255,156,2.14998632646
270 ,271,116,2.04528537992 ,257,153,2.1429323451
271 ,271,106,1.9003917066 ,260,144,2.02832870036
272 ,269,102,1.80548225463 ,261,140,1.96030101335
273 ,267,94,1.58032097991 ,262,133,1.86963555825
274 ,265,90,1.55666346352 ,262,129,1.76902151536
275 ,264,84,1.67004905328 ,263,121,1.69424080083
276 ,266,80,1.71779993942 ,262,117,1.66923653116
